ethnicgroup,cumulativegpa,totaltransferhrs,hrsregistered1stterm,satcr,satm,pelleligible,firstgeneration,studentadmitcode,gender,major1stem,firstgpa,totalsemesters,finalmajorstem
White,2.763513514,65,13,470,460,No,No,Transfer,Male,STEM,2.538,9,STEM
White,3.709401709,43,12,610,670,No,No,Freshman,Female,Not STEM,3.75,11,STEM
White,2.647,25,14,630,540,No,No,Freshman,Female,STEM,3.7,10,STEM
White,3.973,49,13,670,720,No,No,Freshman,Male,STEM,3.923,8,STEM
Hispanic,3.078,20,12,500,480,No,No,Freshman,Male,STEM,3,14,STEM
White,3.319672131,102,15,420,510,No,No,Transfer,Male,STEM,2.8,6,STEM
White,3.145,27,14,690,630,No,No,Freshman,Male,Not STEM,3.3,8,Not STEM
White,3.792899408,22,14,690,650,No,No,Freshman,Female,STEM,3.3,9,STEM
White,3.323741007,28,14,460,520,No,No,Freshman,Male,STEM,2.75,11,Not STEM
White,3.398,34,13,710,690,No,No,Freshman,Male,STEM,3.769,10,STEM
Asian,2.78974359,4,12,460,650,No,No,Freshman,Female,STEM,2.727,14,STEM
White,3.317365269,26,14,680,550,No,No,Freshman,Female,STEM,3.5,9,STEM
White,3.214285714,9,14,610,620,No,No,Freshman,Male,Not STEM,3,14,Not STEM
White,2.943661972,97,13,610,590,No,No,Freshman,Male,STEM,0,12,STEM
Asian,2.976878613,42,14,660,620,No,No,Freshman,Female,STEM,2.785,8,STEM
White,3.329268293,25,15,590,670,No,No,Freshman,Male,STEM,3.416,11,STEM
White,3.095238095,20,15,550,540,No,No,Freshman,Female,STEM,2.4,9,STEM
Hispanic,3.115183246,13,15,520,690,No,No,Freshman,Female,STEM,3.6,10,STEM
White,3.232044199,51,13,650,740,No,No,Freshman,Male,STEM,2.5,11,STEM
White,2.590361446,140,17,750,710,No,No,Transfer,Male,STEM,2.142,16,Not STEM
Hispanic,3.234693878,25,14,550,560,No,No,Freshman,Female,STEM,2,12,Not STEM
Other,3.771653543,43,13,670,640,No,No,Freshman,Female,STEM,3.666,10,STEM
Hispanic,4,65,14,700,800,No,No,Freshman,Female,STEM,4,8,Not STEM
White,3.300970874,61,13,630,720,No,No,Freshman,Female,STEM,3,7,Not STEM
White,3.736842105,51,7,570,560,No,No,Transfer,Female,STEM,3,6,STEM
White,3.338235294,25,16,570,660,No,No,Freshman,Male,STEM,3,9,Not STEM
White,3.293706294,38,15,730,590,No,No,Freshman,Female,STEM,3.142,11,STEM
White,3.21686747,33,14,550,640,No,No,Freshman,Female,STEM,4,11,STEM
Other,3.641891892,51,19,670,720,No,No,Freshman,Female,STEM,3.421,9,STEM
White,3.701219512,39,15,630,670,Yes,No,Freshman,Female,STEM,4,7,STEM
Hispanic,3.382352941,35,15,560,510,No,Yes,Freshman,Male,STEM,3.8,9,STEM
White,3.64,10,15,560,570,No,No,Freshman,Female,STEM,3.133,6,Not STEM
White,3.375838926,66,14,580,530,No,No,Freshman,Female,STEM,3,4,Not STEM
